# primary active endings
IM: ?, ?, ἠδυνατο/ἐδυνατο, ?, ἐδυνασθε, ἠδυναντο
PA:    ?,   ?,       ?,      ?,  ετε, ασι(ν)/ουσι(ν)
PA:    ?,   ?,     ἐνι,      ?,    ?,              ?
PA:    ?,   ι,  στι(ν),   σμεν,  στε,         ισι(ν)
PA:    ?,  ως,       ?,      ?,    ?,              ?
PA:    ω,   ?,      οι,      ?, ουτε,        ουσι(ν)
PA:   μι, εις,   σι(ν),      ?,    ?,              ?
PA:  ημι,   ?,  ησι(ν),      ?,    ?,         ασι(ν)
PA:  ημι,   ?,  ησι(ν),      ?,    ?,        εασι(ν)
PA:  ημι,   ?,  ησι(ν), ανομεν,    ?,              ?
PA:  ωμι,   ?,  ωσι(ν),      ?,    ?,        οασι(ν)
PA: εἰμι,  εἰ, ἐστι(ν),  ἐσμεν, ἐστε,        εἰσι(ν)
IM: ἠμην, ἠσθα, ?, ἠμεθα,   ?,   ?

PA: ιημι, εις, ιησι(ν),  ιομεν, ιετε,       ιουσι(ν)
XA: οἰδα, οἰδας, οἰδε(ν), οἰδαμεν, ἰστε/οἰδατε, ἰσασι(ν)/οἰδασι(ν)
XA: ωρακα/ορακα, ωρακας, ορακε(ν)/ωρακε(ν), ωρακαμεν, ωρακατε, ορακαν/ωρακαν/ωρακασι(ν)
XM: ?, ?, ηται,    ?,   ?, ωνται
YA: ?, ?, γεγονει/ἐγεγονει, ?,  ?,   ?
YM: ?, ?,   , ?, ?, ειντο
YM: ?, ?, το, ?, ?,     ?
YP: ?, ?, το, ?, ?,     ?
