
##

A/NA τ/Τ.υ/ωνιτι. n-3c(2)_a-2b Τραχωνῖτις τραχύς
DA .υ/εω. adverb_a-2b εὐθέως εὐθύς
DA .υ/εω. adverb_a-2b ταχέως ταχύς
DA .ς/ντη adverb_a-2a πάντῃ πᾶς
DA .ε/ακις adverb_n-3g(2) πεντάκις πέντε
DA .υ/λακι. adverb_a-1a(2a) πολλάκις πολύς
DA .ς/νταχη adverb_a-2a πανταχῇ πᾶς
DA .ς/νταχου adverb_a-2a πανταχοῦ πᾶς
DA .ς/ντοθεν adverb_a-2a πάντοθεν πᾶς
DA .π/βδομηκον./κις n-3g(2)_n-3g(2) ἑβδομηκοντάκις ἑπτά
DA .υς/α adverb_a-2b τάχα ταχύς
DA .ου/ω. adverb_a-1b ἁπλῶς ἁπλοῦς

##

DA/ADV .ς/θεν adverb_a-1a(1) μακρόθεν μακρός
DA/ADV-S? .ο/ω. adverb_a-1a(2a) πρώτως πρῶτος

## adverb -> adverb

DD ./θεν adverb_adverb ἄνωθεν ἄνω
DD ./θεν adverb_adverb ἔξωθεν ἔξω
DD ./θεν adverb_adverb πόρρωθεν πόρρω
DD ./θεν adverb_prep ἔσωθεν ἔσω
DD ./τευ. adverb_adverb ἐντεῦθεν ἔνθεν

## noun -> adverb

DN ./θε. adverb_n-2c παιδιόθεν παιδίον
DN .α/στι adverb_n-1a Λυκαονιστί Λυκαονία
DN .ς/θεν adverb_n-2a οὐρανόθεν οὐρανός
DN .ο/ικω. adverb_n-2a τυπικῶς τύπος
DN .η/αιστι adverb_n-1b Ῥωμαϊστί Ῥώμη

## preposition -> adverb

DP ./τος prep_prep ἐντός ἐν
DP .ρ/./ρρω adverb_prep πόρρω πρό
DP .α/ω adverb_prep κάτω κατά
DP .ις/σω prep_prep ἔσω εἰς

##

DRI/Q .ο/ακι. adverb_a-1a(2a) ποσάκις πόσος

## verb -> adverb

DV ./οντ./ς adverb_cv-2d(1) ὑπερβαλλόντως ὑπερβάλλω
DV ./ουμ./ν./ς adverb_v-1d(2a) ὁμολογουμένως ὁμολογέω
DV .ν/./ρ.νω/ adverb_v-3a(2b) λάθρᾳ λανθάνω
DV .ε/ο.ν/./ς adverb_cv-3a(1) συντόμως συντέμνω
DV .ζ/στ./ς adverb_v-2a(1) ἀναγκαστῶς ἀναγκάζω
DV .πτω/φη adverb_v-4 κρυφῇ κρύπτω

##

N/AN ./ι. n-2a_n-2b Κορίνθιος Κόρινθος
NA/ADV .α/η.ρ/. n-3d(2b)_a-1a(1) μῆκος μακρός
NA/N .υ/ο. n-3d(2b)_a-2b πλάτος πλατύς
NA/N .ος/ια n-1a_a-3a πανουργία πανοῦργος
NA/N .ος/εια n-1a_a-3a βοήθεια βοηθός

## noun -> noun

### -ος -> -ιος

NN .ος/ιος n-2a_n-2a δακτύλιος δάκτυλος [finger -> finger-ring]

NN .ος/ιος n-2a_n-2b Τύριος Τύρος [Tyre -> inhabitant of Tyre]
NN .ος/ιος n-2a_n-2b Κύπριος Κύπρος [Cyprus -> inhabitant of Cyprus]

### -ος -> -ιον (diminuatives)

NN .ος/ιον n-2c_n-2a σιτίον σῖτος [grain -> (in plural) provisions]
NN .ος/ιον n-2c_n-2a νοσσίον νοσσός [bird -> chick]
NN .ος/ιον n-2c_n-2a χαλκίον χαλκός [metal -> metal container]
NN .ος/ιον n-2c_n-2a χρυσίον χρυσός [gold -> object of gold, refined gold]
NN .ος/ιον n-2c_n-2a ἐρίφιον ἔριφος [goat -> kid]
NN .ος/ιον n-2c_n-2a κεράμιον κέραμος [clay (roof tile) -> jug]
NN .ος/ιον n-2c_n-2a ἀργύριον ἄργυρος [silver -> silver coin]
NN .ος/ιον n-2c_n-2a ἐμπόριον ἔμπορος [merchant -> market]

NN .ος/ιον n-2c_n-2b νησίον νῆσος
NN .ος/ιον n-2c_n-2b βιβλίον βίβλος

### -ον -> -ιον

NN .ον/ιον n-2c_n-2c τεκνίον τέκνον

### -ος -> -ια

NN .ος/ια n-1a_n-2a τροχιά τροχός
NN .ος/ια n-1a_n-2a ἀγγελία ἄγγελος
NN .ος/ια n-1a_n-2a ἐμπορία ἔμπορος
NN .ος/ια n-1a_n-2a διακονία διάκονος
NN .ος/ια n-1a_n-2a κοινωνία κοινωνός
NN .ος/ια n-1a_n-2a παρθενία παρθένος
NN .ος/ια n-1a_n-2a κατηγορία κατήγορος
NN .ος/ια n-1a_n-2a φιλοσοφία φιλόσοφος
NN .ος/ια n-1a_n-2a διδασκαλία διδάσκαλος
NN .ος/ια n-1a_n-2a κληρονομία κληρονόμος

NN .ος/ια n-1a_n-3d(2b) σκοτία σκότος

### -ος -> -οτης

NN .ος/οτης n-3c(1)_n-2a θεότης θεός
