# @@@    : I don't know what to do here.
# note.1 : I've kept the ending of the compound verb against the etymologies.
#          e.g. ἀναβάλλομαι is ἀνά+βάλλομαι not ἀνά+βάλλω
# note.2 : The etymologies I've looked at don't given the immediate analysis so
#          I've inferred it.
#          e.g. ἀναλογίζομαι is ἀνά+λογίζομαι not ἀνά+λογία (or similar)
# note.3 : I break down all preverbs individually.
# note.4 : How to handle ambiguity?
#          e.g. σύνειμι could be σύν+εἰμί or σύν+εἶμι
# note.5 : augments as καθίζω not κατά+ἵζω
# note.6 : augments as διά+ἀνοίγω not διά+ἀνά+οἴγω

ἀμφιάζω|@@@
ἐπιστομίζω|ἐπί+στομίζω # note.2
ἐπιστρέφω|ἐπί+στρέφω
ἐπισυνάγω|ἐπί+σύν+ἄγω # note.3
ἐπισυντρέχω|ἐπί+σύν+τρέχω # note.3
ἐπισχύω|ἐπί+ἰσχύω
ἐπισωρεύω|ἐπί+σωρεύω
ἐπιτάσσω|ἐπί+τάσσω
ἐπιτελέω|ἐπί+τελέω
ἐπιτίθημι|ἐπί+τίθημι
ἐπιτιμάω|ἐπί+τιμάω
ἐπιτρέπω|ἐπί+τρέπω
ἐπιτυγχάνω|ἐπί+τυγχάνω
ἐπιφαίνω|ἐπί+φαίνω
ἐπιφαύσκω|ἐπί+-φαυσκω
ἐπιφέρω|ἐπί+φέρω
ἐπιφωνέω|ἐπί+φωνέω
ἐπιφώσκω|ἐπί+φώσκω
ἐπιχειρέω|ἐπί+χειρέω # note.2
ἐπιχέω|ἐπί+χέω
ἐπιχορηγέω|ἐπί+χορηγέω
ἐπιχρίω|ἐπί+χρίω
ἐποικοδομέω|ἐπί+οἰκοδομέω
ἐπονομάζομαι|ἐπί+ὀνομάζομαι # note.1
ἐποπτεύω|ἐπί+ὀπτεύω
ἐφάλλομαι|ἐπί+ἅλλομαι
ἐφικνέομαι|ἐπί+ἱκνέομαι
ἐφίστημι|ἐπί+ἵστημι
καθαιρέω|κατά+αἱρέω
καθάπτω|κατά+ἅπτω
καθέζομαι|κατά+ἕζομαι
καθεύδω|κατά+εὕδω
καθήκω|κατά+ἥκω
κάθημαι|κατά+ἧμαι
καθίημι|κατά+ἵημι
καθίστημι|κατά+ἵστημι
καθοπλίζω|κατά+ὁπλίζω
καθοράω|κατά+ὁράω
καμμύω|κατά+μύω
καταβαίνω|κατά+βαίνω
καταβάλλω|κατά+βάλλω
καταβαρέω|κατά+βαρέω
καταβαρύνομαι|κατά+βαρύνομαι # note.1
καταβραβεύω|κατά+βραβεύω # note.2
καταγγέλλω|κατά+ἀγγέλλω
καταγελάω|κατά+γελάω
καταγινώσκω|κατά+γινώσκω
κατάγνυμι|κατά+ἄγνυμι
κατάγω|κατά+ἄγω
καταγωνίζομαι|κατά+ἀγωνίζομαι
καταδέω|κατά+δέω
καταδικάζω|κατά+δικάζω
καταδιώκω|κατά+διώκω
καταδουλόω|κατά+δουλόω
καταδυναστεύω|κατά+δυναστεύω
καταθεματίζω|κατά+θεματίζω # note.2
καταισχύνω|κατά+αἰσχύνω
κατακαίω|κατά+καίω
κατακαλύπτομαι|κατά+καλύπτομαι # note.1
κατακαυχάομαι|κατά+καυχάομαι
κατάκειμαι|κατά+κεῖμαι
κατακλάω|κατά+κλάω
κατακλείω|κατά+κλείω
κατακληρονομέω|κατά+κληρονομέω
κατακλίνω|κατά+κλίνω
κατακλύζω|κατά+κλύζω
κατακολουθέω|κατά+ἀκολουθέω
κατακόπτω|κατά+κόπτω
κατακρημνίζω|κατά+κρημνός
κατακρίνω|κατά+κρίνω
κατακυριεύω|κατά+κυριεύω
καταλαλέω|κατά+λαλέω # note.2
καταλαμβάνω|κατά+λαμβάνω
καταλέγω|κατά+λέγω
καταλείπω|κατά+λείπω
καταλιθάζω|κατά+λιθάζω
καταλλάσσω|κατά+ἀλλάσσω
καταλύω|κατά+λύω
καταμανθάνω|κατά+μανθάνω
καταμαρτυρέω|κατά+μαρτυρέω
καταμένω|κατά+μένω
καταναλίσκω|κατά+ἀνά+ἁλίσκω # note.3
καταναρκάω|κατά+ναρκάω
κατανεύω|κατά+νεύω
κατανοέω|κατά+νοέω
καταντάω|κατά+ἀντάω
κατανύσσομαι|κατά+νύσσομαι # note.1
καταξιόω|κατά+ἀξιόω
καταπατέω|κατά+πατέω
καταπαύω|κατά+παύω
καταπίνω|κατά+πίνω
καταπίπτω|κατά+πίπτω
καταπλέω|κατά+πλέω
καταπονέω|κατά+πονέω
καταποντίζομαι|κατά+ποντίζομαι # note.1
καταράομαι|κατά+ἀράομαι # note.2
καταργέω|κατά+ἀργέω
καταριθμέω|κατά+ἀριθμέω
καταρτίζω|κατά+ἀρτίζω
κατασείω|κατά+σείω
κατασκάπτω|κατά+σκάπτω
κατασκευάζω|κατά+σκευάζω
κατασκηνόω|κατά+σκηνόω
κατασκιάζω|κατά+σκιάζω
κατασκοπέω|κατά+σκοπέω # note.2
κατασοφίζομαι|κατά+σοφίζομαι
καταστέλλω|κατά+στέλλω
καταστρέφω|κατά+στρέφω
καταστρηνιάω|κατά+στρηνιάω
καταστρώννυμι|κατά+στρώννυμι # note.1
κατασύρω|κατά+σύρω
κατασφάζω|κατά+σφάζω
κατασφραγίζω|κατά+σφραγίζω # note.2
κατατίθημι|κατά+τίθημι
κατατρέχω|κατά+τρέχω
καταφέρω|κατά+φέρω
καταφεύγω|κατά+φεύγω
καταφθείρω|κατά+φθείρω
καταφιλέω|κατά+φιλέω
καταφρονέω|κατά+φρονέω
καταχέω|κατά+χέω
καταχράομαι|κατά+χράομαι
καταψύχω|κατά+ψύχω
κατεξουσιάζω|κατά+ἐξουσιάζω
κατεργάζομαι|κατά+ἐργάζομαι
κατέρχομαι|κατά+ἔρχομαι
κατεσθίω|κατά+ἐσθίω
κατευθύνω|κατά+εὐθύνω
κατευλογέω|κατά+εὐλογέω
κατεφίστημι|κατά+ἐπί+ἵστημι # note.3
κατέχω|κατά+ἔχω
κατηγορέω|κατά+ἀγορέω # note.2
κατηχέω|κατά+ἠχέω
κατιόομαι|κατά+ἰόομαι # note.2
κατισχύω|κατά+ἰσχύω
κατοικέω|κατά+οἰκέω
κατοικίζω|κατά+οἰκίζω # note.2
κατοπτρίζομαι|κατά+οπτρίζομαι # note.2
μεθερμηνεύω|μετά+ἑρμηνεύω
μεθίστημι|μετά+ἵστημι
μεταβαίνω|μετά+βαίνω
μεταβάλλομαι|μετά+βάλλομαι # note.1
μετάγω|μετά+ἄγω
μεταδίδωμι|μετά+δίδωμι
μεταίρω|μετά+αἴρω
μετακαλέομαι|μετά+καλέομαι # note.1
μετακινέω|μετά+κινέω
μεταλαμβάνω|μετά+λαμβάνω
μεταλλάσσω|μετά+ἀλλάσσω
μεταμέλομαι|μετά+μέλω
μεταμορφόομαι|μετά+μορφόομαι # note.1
μετανοέω|μετά+νοέω
μεταπέμπομαι|μετά+πέμπομαι # note.1
μεταστρέφω|μετά+στρέφω
μετασχηματίζω|μετά+σχηματίζω
μετατίθημι|μετά+τίθημι
μετατρέπω|μετά+τρέπω
μετέχω|μετά+ἔχω
μετεωρίζομαι|μετά+@@@ # note.2
μετοικίζω|μετά+οἰκίζω # note.2
παραβαίνω|παρά+βαίνω
παραβάλλω|παρά+βάλλω
παραβιάζομαι|παρά+βιάζω
παραβολεύομαι|παρά+βουλεύω
παραγγέλλω|παρά+ἀγγέλλω
παραγίνομαι|παρά+γίνομαι
παράγω|παρά+ἄγω
παραδειγματίζω|παρά+δειγματίζω
παραδέχομαι|παρά+δέχομαι
παραδίδωμι|παρά+δίδωμι
παραζηλόω|παρά+ζηλόω
παραθεωρέω|παρά+θεωρέω
παραινέω|παρά+αἰνέω
παραιτέομαι|παρά+αἰτέομαι # note.1
παρακαθέζομαι|παρά+κατά+ἕζομαι # note.3
παρακαλέω|παρά+καλέω
παρακαλύπτομαι|παρά+καλύπτομαι # note.1
παράκειμαι|παρά+κεῖμαι
παρακολουθέω|παρά+ἀκολουθέω
παρακούω|παρά+ἀκούω
παρακύπτω|παρά+κύπτω
παραλαμβάνω|παρά+λαμβάνω
παραλέγομαι|παρά+λέγομαι # note.1
παραλογίζομαι|παρά+λογίζομαι
παραλύομαι|παρά+λύομαι # note.1
παραμένω|παρά+μένω
παραμυθέομαι|παρά+μῦθος
παρανομέω|παρά+νόμος
παραπικραίνω|παρά+πικραίνω
παραπίπτω|παρά+πίπτω
παραπλέω|παρά+πλέω
παραπορεύομαι|παρά+πορεύομαι
παραρρέω|παρά+ῥέω
παρασκευάζω|παρά+σκευάζω
παρατείνω|παρά+τείνω
παρατηρέω|παρά+τηρέω
παρατίθημι|παρά+τίθημι
παρατυγχάνω|παρά+τυγχάνω
παραφέρω|παρά+φέρω
παραφρονέω|παρά+φρονέω
παραχειμάζω|παρά+χειμάζω # note.2
παρεδρεύω|παρά+ἑδραῖος
πάρειμι|παρά+εἰμί
παρεισάγω|παρά+εἰς+ἄγω # note.3
παρεισδύω|παρά+εἰς+δύω # note.3
παρεισέρχομαι|παρά+εἰς+ἔρχομαι # note.3
παρεισφέρω|παρά+εἰς+φέρω # note.3
παρεμβάλλω|παρά+ἐν+βάλλω # note.3
παρενοχλέω|παρά+ἐν+ὀχλέω # note.2 note.3
παρέρχομαι|παρά+ἔρχομαι
παρέχω|παρά+ἔχω
παρίημι|παρά+ἵημι
παροικέω|παρά+οἰκέω
παροίχομαι|παρά+οἴχομαι
παρομοιάζω|παρά+ὁμοιάζω # note.2
παροξύνομαι|παρά+ὀξύνομαι # note.2
παροργίζω|παρά+ὀργίζω
παροτρύνω|παρά+ὀτρύνω
περιάγω|περί+ἀγω
περιαιρέω|περί+αἱρέω
περιάπτω|περί+ἅπτω
περιαστράπτω|περί+ἀστράπτω
περιβάλλω|περί+βάλλω
περιβλέπομαι|περί+βλέπομαι # note.1
περιδέω|περί+δέω
περιεργάζομαι|περί+ἐργάζομαι
περιέρχομαι|περί+ἔρχομαι
περιέχω|περί+ἔχω
περιζώννυμι|περί+ζώννυμι
περιΐστημι|περί+ἵστημι
περικαλύπτω|περί+καλύπτω
περίκειμαι|περί+κεῖμαι
περικρύβω|περί+κρύβω
περικυκλόω|περί+κυκλόω
περιλάμπω|περί+λάμπω
περιλείπομαι|περί+λείπω
περιμένω|περί+μένω
περιοικέω|περί+οἰκέω
περιπατέω|περί+πατέω
περιπείρω|περί+πείρω
περιπίπτω|περί+πίπτω
περιποιέομαι|περί+ποιέομαι # note.1
περιρήγνυμι|περί+ῥήγνυμι
περισπάομαι|περί+σπάομαι # note.1
περισσεύω|περί+@@@
περιτέμνω|περί+τέμνω
περιτίθημι|περί+τίθημι
περιτρέπω|περί+τρέπω
περιτρέχω|περί+τρέχω
περιφέρω|περί+φέρω
περιφρονέω|περί+φρονέω
προάγω|πρό+ἄγω
προαιρέομαι|πρό+αἱρέομαι # note.1
προαιτιάομαι|πρό+αἰτιάομαι # note.2
προακούω|πρό+ἀκούω
προαμαρτάνω|πρό+ἁμαρτάνω
προβαίνω|πρό+βαίνω
προβάλλω|πρό+βάλλω
προβιβάζω|πρό+βαίνω
προβλέπομαι|πρό+βλέπομαι # note.1
προγίνομαι|πρό+γίνομαι
προγινώσκω|πρό+γινώσκω
προγράφω|πρό+γράφω
προδίδωμι|πρό+δίδωμι
προελπίζω|πρό+ἐλπίζω
προενάρχομαι|πρό+ἐν+ἄρχομαι
προεπαγγέλλομαι|πρό+ἐπί+ἀγγέλλομαι # note.1 note.3
προέρχομαι|πρό+ἔρχομαι
προετοιμάζω|πρό+ἑτοιμάζω
προευαγγελίζομαι|πρό+εὐαγγελίζομαι
προέχομαι|πρό+ἔχομαι # note.1
προηγέομαι|πρό+ἡγέομαι
προΐστημι|πρό+ἵστημι
προκαλέομαι|πρό+καλέομαι # note.1
προκαταγγέλλω|πρό+κατά+ἀγγέλλω # note.3
προκαταρτίζω|πρό+κατά+ἀρτίζω # note.3
πρόκειμαι|πρό+κεῖμαι
προκηρύσσω|πρό+κηρύσσω
προκόπτω|πρό+κόπτω
προκυρόω|πρό+κυρόω
προλαμβάνω|πρό+λαμβάνω
προλέγω|πρό+λέγω
προμαρτύρομαι|πρό+μαρτύρομαι
προμελετάω|πρό+μελετάω
προμεριμνάω|πρό+μεριμνάω
προνοέω|πρό+νοέω
προοράω|πρό+ὁράω
προορίζω|πρό+ὁρίζω
προπάσχω|πρό+πάσχω
προπέμπω|πρό+πέμπω
προπορεύομαι|πρό+πορεύομαι
προτείνω|πρό+τείνω
προτίθεμαι|πρό+τίθεμαι # note.1
προτρέπομαι|πρό+τρέπομαι # note.1
προτρέχω|πρό+τρέχω
προϋπάρχω|πρό+ὑπό+ἄρχω # note.3
προφέρω|πρό+φέρω
προφθάνω|πρό+φθάνω
προχειρίζομαι|πρό+χειρίζομαι # note.1
προχειροτονέω|πρό+χειροτονέω
φρουρέω|πρό+οὐρέω
προσαγορεύω|πρός+ἀγορεύω
προσάγω|πρός+ἄγω
προσαιτέω|πρός+αἰτέω
προσαναβαίνω|πρός+ἀνά+βαίνω # note.3
προσαναλίσκω|πρός+ἀνά+ἁλίσκω # note.3
προσαναπληρόω|πρός+ἀνά+πληρόω # note.3
προσανατίθημι|πρός+ἀνά+τίθημι # note.3
προσαπειλέομαι|πρός+ἀπειλέομαι # note.1
προσδαπανάω|πρός+δαπανάω
προσδέομαι|πρός+δέομαι
προσδέχομαι|πρός+δέχομαι
προσδοκάω|πρός+δοκάω # note.2
προσεάω|πρός+ἐάω
προσεργάζομαι|πρός+ἐργάζομαι
προσέρχομαι|πρός+ἔρχομαι
προσεύχομαι|πρός+εὔχομαι
προσέχω|πρός+ἔχω
προσηλόω|πρός+ἡλόω
προσκαλέομαι|πρός+καλέομαι # note.1
προσκαρτερέω|πρός+καρτερέω
προσκληρόομαι|πρός+κληρόομαι # note.2
προσκλίνομαι|πρός+κλίνομαι # note.1
προσκολλάομαι|πρός+κολλάομαι # note.1
προσκόπτω|πρός+κόπτω
προσκυλίω|πρός+κυλίω
προσκυνέω|πρός+κυνέω
προσλαλέω|πρός+λαλέω
προσλαμβάνομαι|πρός+λαμβάνομαι # note.1
προσμένω|πρός+μένω
προσορμίζομαι|πρός+ὁρμίζομαι # note.1
προσοφείλω|πρός+ὀφείλω
προσοχθίζω|πρός+ὀχθίζω # note.2
προσπήγνυμι|πρός+πήγνυμι
προσπίπτω|πρός+πίπτω
προσποιέομαι|πρός+ποιέομαι # note.1
προσπορεύομαι|πρός+πορεύομαι
προστάσσω|πρός+τάσσω
προστίθημι|πρός+τίθημι
προστρέχω|πρός+τρέχω
προσφέρω|πρός+φέρω
προσφωνέω|πρός+φωνέω # note.2
προσψαύω|πρός+ψαύω
συγκάθημαι|σύν+κατά+ἧμαι # note.3
συγκαθίζω|σύν+καθίζω # note.5
συγκακοπαθέω|σύν+κακοπαθέω
συγκακουχέομαι|σύν+κακουχέομαι # note.1
συγκαλέω|σύν+καλέω
συγκαλύπτω|σύν+καλύπτω
συγκάμπτω|σύν+κάμπτω
συγκαταβαίνω|σύν+κατά+βαίνω # note.3
συγκατατίθεμαι|σύν+κατά+τίθεμαι # note.3
συγκαταψηφίζομαι|σύν+κατά+ψηφίζομαι # note.3
συγκεράννυμι|σύν+κεράννυμι
συγκινέω|σύν+κινέω
συγκλείω|σύν+κλείω
συγκοινωνέω|σύν+κοινωνέω
συγκομίζω|σύν+κομίζω
συγκρίνω|σύν+κρίνω
συγκύπτω|σύν+κύπτω
συγχαίρω|σύν+χαίρω
συγχέω|σύν+χέω
συγχράομαι|σύν+χράομαι
συζάω|σύν+ζάω
συζεύγνυμι|σύν+ζεύγνυμι
συζητέω|σύν+ζητέω
συζωοποιέω|σύν+ζωοποιέω
συλλαλέω|σύν+λαλέω
συλλαμβάνω|σύν+λαμβάνω
συλλέγω|σύν+λέγω
συλλογίζομαι|σύν+λογίζομαι
συλλυπέομαι|σύν+λυπέομαι # note.1
συμβαίνω|σύν+βαίνω
συμβάλλω|σύν+βάλλω
συμβασιλεύω|σύν+βασιλεύω
συμβιβάζω|σύν+βιβάζω
συμβουλεύω|σύν+βουλεύω
συμμαρτυρέω|σύν+μαρτυρέω
συμμερίζομαι|σύν+μερίζομαι # note.1
συμμορφίζομαι|σύν+μορφίζομαι # note.2
συμπαθέω|σύν+παθέω # note.2
συμπαραγίνομαι|σύν+παρά+γίνομαι # note.3
συμπαρακαλέομαι|σύν+παρά+καλέω # note.3
συμπαραλαμβάνω|σύν+παρά+λαμβάνω # note.3
συμπάρειμι|σύν+παρά+εἰμί # note.3
συμπάσχω|σύν+πάσχω
συμπέμπω|σύν+πέμπω
συμπεριλαμβάνω|σύν+περιλαμβάνω
συμπίνω|σύν+πίνω
συμπίπτω|σύν+πίπτω
συμπληρόω|σύν+πληρόω
συμπνίγω|σύν+πνίγω
συμπορεύομαι|σύν+πορεύομαι
συμφέρω|σύν+φέρω
σύμφημι|σύν+φημί
συμφύομαι|σύν+φύομαι # note.1
συμφωνέω|σύν+φωνέω
συμψηφίζω|σύν+ψηφίζω
συνάγω|σύν+ἄγω
συναγωνίζομαι|σύν+ἀγωνίζομαι
συναθλέω|σύν+ἀθλέω
συναθροίζω|σύν+ἀθροίζω
συναίρω|σύν+αἴρω
συνακολουθέω|σύν+ἀκολουθέω
συναλίζομαι|σύν+ἁλίζομαι # note.1
συναλλάσσω|σύν+ἀλλάσσω
συναναβαίνω|σύν+ἀνά+βαίνω # note.3
συνανάκειμαι|σύν+ἀνά+κεῖμαι # note.3
συναναπαύομαι|σύν+ἀνά+παύω # note.3
συναντάω|σύν+ἀντάω
συναντιλαμβάνομαι|σύν+ἀντί+λαμβάνομαι # note.1 note.3
συναπάγομαι|σύν+ἀπάγομαι # note.1
συναποθνῄσκω|σύν+ἀπό+θνῄσκω # note.3
συναπόλλυμαι|σύν+ἀπό+ὄλλυμαι # note.1 note.3
συναποστέλλω|σύν+ἀπό+στέλλω # note.3
συναρμολογέομαι|σύν+ἁρμολογέομαι # note.1
συναρπάζω|σύν+ἁρπάζω
συναυξάνομαι|σύν+αὐξάνομαι # note.1
συνδέομαι|σύν+δέομαι # note.1
συνδοξάζομαι|σύν+δοξάζομαι # note.1
συνεγείρω|σύν+ἐγείρω
σύνειμι|σύν+εἰμί;σύν+εἶμι # note.4
συνεισέρχομαι|σύν+εἰς+ἔρχομαι # note.3
συνεπιμαρτυρέω|σύν+ἐπί+μαρτυρέω # note.3
συνεπιτίθεμαι|σύν+ἐπί+τίθεμαι # note.1
συνέπομαι|σύν+ἕπομαι
συνεργέω|σύν+εργέω # note.2
συνέρχομαι|σύν+ἔρχομαι
συνεσθίω|σύν+ἐσθίω
συνευδοκέω|σύν+εὐδοκέω
συνευωχέομαι|σύν+εὐωχέομαι # note.1
συνεφίστημι|σύν+ἐπί+ἵστημι # note.3
συνέχω|σύν+ἔχω
συνήδομαι|σύν+ἥδομαι
συνθάπτομαι|σύν+θάπτομαι # note.1
συνθλάομαι|σύν+θλάομαι # note.1
συνθλίβω|σύν+θλίβω
συνθρύπτω|σύν+θρύπτω
συνίημι|σύν+ἵημι
σύνιημι|@@@
συνίστημι|σύν+ἵστημι
συνοδεύω|σύν+ὁδεύω
σύνοιδα|σύν+οἶδα
συνοικέω|σύν+οἰκέω
συνοικοδομέω|σύν+οἰκοδομέω
συνομορέω|σύν+ὅμορέω # note.2
συνοράω|σύν+ὁράω
συντάσσω|σύν+τάσσω
συντελέω|σύν+τελέω
συντέμνω|σύν+τέμνω
συντηρέω|σύν+τηρέω
συντίθεμαι|σύν+τίθεμαι # note.2
συντρέχω|σύν+τρέχω
συντρίβω|σύν+τρίβω
συντυγχάνω|σύν+τυγχάνω
συνυποκρίνομαι|σύν+ὑπό+κρίνομαι # note.1 note.3
συνυπουργέω|σύν+ὑπουργέω
συνωδίνω|σύν+ὠδίνω
συσπαράσσω|σύν+σπαράσσω
συσταυρόομαι|σύν+σταυρόομαι # note.1
συστέλλω|σύν+στέλλω
συστενάζω|σύν+στενάζω
συστοιχέω|σύν+στοιχέω
συστρέφω|σύν+στρέφω
συσχηματίζομαι|σύν+σχηματίζομαι # note.1
ὑπεραίρομαι|ὑπέρ+αἴρομαι # note.1
ὑπεραυξάνω|ὑπέρ+αὐξάνω
ὑπερβάλλω|ὑπέρ+βάλλω
ὑπερεκτείνω|ὑπέρ+ἐκ+τείνω # note.3
ὑπερεκχύννομαι|ὑπέρ+ἐκ+χύννομαι # note.1 note.2 note.3
ὑπερεντυγχάνω|ὑπέρ+ἐν+τυγχάνω # note.3
ὑπερέχω|ὑπέρ+ἔχω
ὑπερνικάω|ὑπέρ+νικάω
ὑπεροράω|ὑπέρ+ὁράω
ὑπερπερισσεύω|ὑπέρ+περισσεύω
ὑπερπλεονάζω|ὑπέρ+πλεονάζω
ὑπερυψόω|ὑπέρ+ὑψόω
ὑπερφρονέω|ὑπέρ+φρονέω
ὑπάγω|ὑπό+ἄγω
ὑπακούω|ὑπό+ἀκούω
ὑπαντάω|ὑπό+ἄντα
ὑπάρχω|ὑπό+ἄρχω
ὑπείκω|ὑπό+εἴκω
ὑπέχω|ὑπό+ἔχω
ὑπηρετέω|ὑπό+@@@ # note.2
ὑποβάλλω|ὑπό+βάλλω
ὑποδείκνυμι|ὑπό+δεικνύμι
ὑποδέομαι|ὑπό+δέομαι # note.1
ὑποδέχομαι|ὑπό+δέχομαι
ὑποζώννυμι|ὑπό+ζώννυμι
ὑποκρίνομαι|ὑπό+κρίνω
ὑπολαμβάνω|ὑπό+λαμβάνω
ὑπολείπω|ὑπό+λείπω
ὑπολιμπάνω|ὑπό+λιμπάνω # note.2
ὑπομένω|ὑπό+μένω
ὑπομιμνῄσκω|ὑπό+μιμνῄσκω
ὑπονοέω|ὑπό+νοέω
ὑποπλέω|ὑπό+πλέω
ὑποπνέω|ὑπό+πνέω
ὑποστέλλω|ὑπό+στέλλω
ὑποστρέφω|ὑπό+στρέφω
ὑποστρωννύω|ὑπό+στρωννύω
ὑποτάσσω|ὑπό+τάσσω
ὑποτίθημι|ὑπό+τίθημι
ὑποτρέχω|ὑπό+τρέχω
ὑποφέρω|ὑπό+φέρω
ὑποχωρέω|ὑπό+χωρέω
