# @@@    : I don't know what to do here.
# note.1 : I've kept the ending of the compound verb against the etymologies.
#          e.g. ἀναβάλλομαι is ἀνά+βάλλομαι not ἀνά+βάλλω
# note.2 : The etymologies I've looked at don't given the immediate analysis so
#          I've inferred it.
#          e.g. ἀναλογίζομαι is ἀνά+λογίζομαι not ἀνά+λογία (or similar)
# note.3 : I break down all preverbs individually.
# note.4 : How to handle ambiguity?
#          e.g. σύνειμι could be σύν+εἰμί or σύν+εἶμι
# note.5 : augments as καθίζω not κατά+ἵζω
# note.6 : augments as διά+ἀνοίγω not διά+ἀνά+οἴγω

ἀμφιάζω|@@@
ἀποβλέπω|ἀπό+βλέπω
ἀπογίνομαι|ἀπό+γίνομαι
ἀπογράφω|ἀπό+γράφω
ἀποδείκνυμι|ἀπό+δείκνυμι
ἀποδεκατόω|ἀπό+δεκατόω
ἀποδέχομαι|ἀπό+δέχομαι
ἀποδημέω|ἀπό+δημέω # note.2
ἀποδίδωμι|ἀπό+δίδωμι
ἀποδιορίζω|ἀπό+διορίζω
ἀποδοκιμάζω|ἀπό+δοκιμάζω
ἀποθησαυρίζω|ἀπό+θησαυρίζω
ἀποθλίβω|ἀπό+θλίβω
ἀποθνῄσκω|ἀπό+θνῄσκω
ἀποκαθίστημι|ἀπό+κατά+ἵστημι # note.3
ἀποκαλύπτω|ἀπό+καλύπτω
ἀποκαταλλάσσω|ἀπό+κατά+ἀλλάσσω # note.3
ἀπόκειμαι|ἀπό+κεῖμαι
ἀποκεφαλίζω|ἀπό+κεφαλίζω
ἀποκλείω|ἀπό+κλείω
ἀποκόπτω|ἀπό+κόπτω
ἀποκρίνομαι|ἀπό+κρίνομαι # note.1
ἀποκρύπτω|ἀπό+κρύπτω
ἀποκτείνω|ἀπό+κτείνω
ἀποκυλίω|ἀπό+κυλίω
ἀπολαμβάνω|ἀπό+λαμβάνω
ἀπολείπω|ἀπό+λείπω
ἀπόλλυμι|ἀπό+ὄλλυμι
ἀπολογέομαι|ἀπό+λογέομαι # note.2
ἀπολούομαι|ἀπό+λούομαι # note.1
ἀπολύω|ἀπό+λύω
ἀπομάσσομαι|ἀπό+μάσσομαι # note.1
ἀπονέμω|ἀπό+νέμω
ἀπονίπτω|ἀπό+νίπτω
ἀποπίπτω|ἀπό+πίπτω
ἀποπλανάω|ἀπό+πλανάω
ἀποπλέω|ἀπό+πλέω
ἀποπνίγω|ἀπό+πνίγω
ἀπορίπτω|ἀπό+ῥίπτω
ἀπορφανίζω|ἀπό+ὀρφανός
ἀποσπάω|ἀπό+σπάω
ἀποστεγάζω|ἀπό+στεγάζω
ἀποστέλλω|ἀπό+στέλλω
ἀποστερέω|ἀπό+στερέω
ἀποστοματίζω|ἀπό+στοματίζω # note.2
ἀποστρέφω|ἀπό+στρέφω
ἀποστυγέω|ἀπό+στυγέω
ἀποτάσσομαι|ἀπό+τάσσομαι # note.1
ἀποτελέω|ἀπό+τελέω
ἀποτίθημι|ἀπό+τίθημι
ἀποτινάσσω|ἀπό+τινάσσω
ἀποτίνω|ἀπό+τίνω
ἀποτολμάω|ἀπό+τολμάω
ἀποτρέπομαι|ἀπό+τρέπομαι # note.1
ἀποφέρω|ἀπό+φέρω
ἀποφεύγω|ἀπό+φεύγω
ἀποφθέγγομαι|ἀπό+φθέγγομαι
ἀποφορτίζομαι|ἀπό+φορτίζομαι # note.1
ἀποχωρέω|ἀπό+χωρέω
