ἀγαπάω verb XM M n-2a ἠγαπημεν DS ἠγαπημένῳ ἠγαπημέν ῳ ο+ι
ἀγαπάω verb XM M n-2a ἠγαπημεν NP ἠγαπημένοι ἠγαπημέν οι ο+ι
ἀγαπάω verb XM M n-2a ἠγαπημεν VP ἠγαπημένοι ἠγαπημέν οι ο+ι
ἀγαπάω verb XM M n-2a ἠγαπημεν DP ἠγαπημένοις ἠγαπημέν οις ο+ις
ἀγαπάω verb XM F n-1b ἠγαπημεν AS ἠγαπημένην ἠγαπημέν ην η+ν
ἀγάπη n-1b -- F n-1b ἀγαπ NS ἀγάπη ἀγάπ η η+
ἀγάπη n-1b -- F n-1b ἀγαπ GS ἀγάπης ἀγάπ ης η+ς
ἀγάπη n-1b -- F n-1b ἀγαπ DS ἀγάπῃ ἀγάπ ῃ η+ι
ἀγάπη n-1b -- F n-1b ἀγαπ AS ἀγάπην ἀγάπ ην η+ν
ἀγάπη n-1b -- F n-1b ἀγαπ DP ἀγάπαις ἀγάπ αις α+ις
ἀγαπητός a-1a(2a) -- M n-2a ἀγαπητ NS ἀγαπητός ἀγαπητ ός ο+ς
ἀγαπητός a-1a(2a) -- M n-2a ἀγαπητ GS ἀγαπητοῦ ἀγαπητ οῦ ο+ιο
ἀγαπητός a-1a(2a) -- M n-2a ἀγαπητ DS ἀγαπητῷ ἀγαπητ ῷ ο+ι
ἀγαπητός a-1a(2a) -- M n-2a ἀγαπητ AS ἀγαπητόν ἀγαπητ όν ο+ν
ἀγαπητός a-1a(2a) -- M n-2a ἀγαπητ VS ἀγαπητέ ἀγαπητ έ ε+
ἀγαπητός a-1a(2a) -- M n-2a ἀγαπητ NP ἀγαπητοί ἀγαπητ οί ο+ι
ἀγαπητός a-1a(2a) -- M n-2a ἀγαπητ VP ἀγαπητοί ἀγαπητ οί ο+ι
ἀγαπητός a-1a(2a) -- M n-2a ἀγαπητ DP ἀγαπητοῖς ἀγαπητ οῖς ο+ις
ἀγαπητός a-1a(2a) -- F n-1b ἀγαπητ AS ἀγαπητήν ἀγαπητ ήν η+ν
ἀγαπητός a-1a(2a) -- N n-2c ἀγαπητ NS ἀγαπητόν ἀγαπητ όν ο+ν
ἀγαπητός a-1a(2a) -- N n-2c ἀγαπητ DS ἀγαπητῷ ἀγαπητ ῷ ο+ι
ἀγαπητός a-1a(2a) -- N n-2c ἀγαπητ NP ἀγαπητά ἀγαπητ ά α
ἀγαπητός a-1a(2a) -- N n-2c ἀγαπητ AP ἀγαπητά ἀγαπητ ά α
ἀγγεῖον n-2c -- N n-2c ἀγγει DP ἀγγείοις ἀγγεί οις ο+ις
ἀγγελία n-1a -- F n-1a ἀγγελι NS ἀγγελία ἀγγελί α α+
ἀγγέλλω verb PA F n-1c ἀγγελλουσ NS ἀγγέλλουσα ἀγγέλλουσ α α+
ἄγγελος n-2a -- M n-2a ἀγγελ NS ἄγγελος ἄγγελ ος ο+ς
ἄγγελος n-2a -- M n-2a ἀγγελ GS ἀγγέλου ἀγγέλ ου ο+ιο
ἄγγελος n-2a -- M n-2a ἀγγελ DS ἀγγέλῳ ἀγγέλ ῳ ο+ι
ἄγγελος n-2a -- M n-2a ἀγγελ AS ἄγγελον ἄγγελ ον ο+ν
ἄγγελος n-2a -- M n-2a ἀγγελ NP ἄγγελοι ἄγγελ οι ο+ι
ἄγγελος n-2a -- M n-2a ἀγγελ GP ἀγγέλων ἀγγέλ ων +ων
ἄγγελος n-2a -- M n-2a ἀγγελ DP ἀγγέλοις ἀγγέλ οις ο+ις
ἄγγελος n-2a -- M n-2a ἀγγελ AP ἀγγέλους ἀγγέλ ους ο+νς
